Module	BẢNG CHUYỂN ĐỔI YÊU CẦU CHỨC NĂNG SANG TRƯỜNG HỢP SỬ DỤNG (USE-CASE)								
									
									
	TT	Tên Use-Case	Tên tác nhân chính	Tên tác nhân phụ	Mô tả trường hợp sử dụng	Số Trans	Mức độ cần thiết	Mức độ	Điếm số Trans
	196	Xem danh sách Sản phẩm	Admin ERP	Hệ thống	Hiển thị danh sách toàn bộ sản phẩm đầu ra trong hệ thống.				
	197	Xem chi tiết Sản phẩm	Admin ERP		Xem thông tin chi tiết sản phẩm: mô tả, giá, quy cách, tồn kho hiện tại.				
	198	Ngừng hoạt động Sản phẩm	Admin ERP	Hệ thống	Đánh dấu sản phẩm không còn kinh doanh, không cho tạo đơn hàng mới với sản phẩm này.				
	199	Đồng bộ Sản phẩm sang Website	Hệ thống ERP	Website	Đẩy thông tin sản phẩm (tên, giá, hình ảnh, mô tả) sang website bán hàng.				
	II. Quản lý Giá bán								
	200	Thiết lập giá bán mặc định theo sản phẩm	Admin ERP		Cấu hình giá bán lẻ mặc định cho từng sản phẩm, áp dụng khi tạo đơn hàng.	M			
	201	Thiết lập thời hạn hiệu lực bảng giá	Admin ERP		Cấu hình ngày bắt đầu và ngày hết hạn của bảng giá để quản lý giá theo mùa vụ / chương trình khuyến mại.	M			
	202	Xem lịch sử thay đổi giá	Admin ERP	Hệ thống	Tra cứu audit trail thay đổi giá: ai thay đổi, thay đổi lúc nào, từ giá nào sang giá nào.	M			
	203	Xuất bảng giá ra Excel / PDF	Admin ERP		Xuất toàn bộ bảng giá sản phẩm ra file để chia sẻ với khách hàng hoặc lưu trữ nội bộ.	M			
Kho	I. Quản lý tồn kho								
	204	Xem tổng quan tồn kho	Admin ERP		Hiển thị tổng tồn kho thành phẩm (bao 5kg, đóng gói nhỏ) và vật tư, bao gồm số lượng tồn, giá trị kho, cảnh báo sắp hết và hết hàng để phục vụ điều hành.				
	205	Xem danh sách tồn kho	Admin ERP		Hiển thị danh sách tất cả sản phẩm trong kho, bao gồm bao 5kg (Bxxxxx), thành phẩm đóng gói nhỏ (Sxxxxx) và vật tư.				
	206	Xem tồn theo phân loại	Admin ERP		Phân loại tồn kho theo nhóm: bao 5kg, thành phẩm bán lẻ, vật tư đóng gói.				
	207	Xem tồn theo lô/mẻ	Admin ERP		Hiển thị tồn kho chi tiết theo từng lô batch (Bxxxxx, Sxxxxx) để phục vụ truy xuất nguồn gốc.				
	208	Tìm kiếm tồn kho	Admin ERP		Tìm kiếm theo mã batch, tên sản phẩm hoặc loại sản phẩm.				
	209	Lọc tồn kho	Admin ERP		Lọc theo kho, loại sản phẩm hoặc trạng thái tồn kho.				
	210	Cảnh báo sắp hết hàng	Hệ thống		Tự động cảnh báo khi tồn kho xuống dưới ngưỡng tối thiểu.				
	211	Cảnh báo hết hàng	Hệ thống		Cảnh báo khi tồn kho bằng 0.				
	II. Nhập kho								
	212	Tạo phiếu nhập kho thương phẩm, nguyên liệu phụ trợ	Hệ thống		Hệ thống ERP tự động nhận batch bao 5kg (Bxxxxx) từ TXNG sau khi hoàn tất sự kiện đóng gói sơ cấp, bao gồm thông tin loại chè, khối lượng và nguồn gốc lô sản xuất.				
	213	Gán lô sản xuất, đóng gói với phiếu nhập kho	Hệ thống		ERP nhận batch Sxxxxx từ TXNG, bao gồm sản phẩm đóng gói nhỏ và chè vụn (trà túi lọc) để phục vụ quản lý tồn kho và bán hàng.				
	214	Gán lô nguyên vật liệu phụ trợ với phiếu nhập kho	Admin ERP		Admin ERP ghi nhận nhập kho vật tư từ nhà cung cấp như bao bì, hộp, túi, nhiên liệu sau khi kiểm tra số lượng và chất lượng.				
	215	Cập nhật số lượng tồn kho	Hệ thống		Sau khi nhập kho (từ TXNG hoặc vật tư), hệ thống tự động cộng tồn kho tương ứng.				
	216	Ghi nhận lịch sử nhập kho 	Hệ thống		Log lại lịch sử từng lần nhập kho				
	III. Xuất kho								
	217	Tạo phiếu Xuất kho	Hệ thống		Khi đơn hàng được xác nhận, hệ thống tự động xuất kho thành phẩm (Sxxxxx) theo số lượng bán.				
	218	Gán lô sản xuất, đóng gói với phiếu xuất kho	Admin ERP		Admin ERP thực hiện xuất kho bao 5kg (Bxxxxx) để phục vụ đóng gói nhỏ, đồng thời ghi nhận cho TXNG sử dụng.				
	219	Gán lô nguyên vật liệu phụ trợ với phiếu xuất kho 	Admin ERP		Xuất vật tư (bao bì, hộp…) cho hoạt động đóng gói và gửi thông tin sang TXNG để ghi nhận sử dụng vật tư.				
	220	Kiểm tra tồn trước khi xuất	Hệ thống		Kiểm tra số lượng tồn kho trước khi cho phép xuất, đảm bảo không xuất vượt tồn.				
	221	Trừ tồn kho	Hệ thống		Tự động trừ tồn kho tương ứng sau khi xuất.				
	222	Ghi nhận lịch sử xuất kho	Hệ thống		Lưu lại toàn bộ lịch sử xuất kho phục vụ kiểm tra, truy vết và đối soát.				
	IV. Theo dõi biến động kho								
	223	Xem lịch sử nhập kho	Admin ERP		Hiển thị toàn bộ lịch sử nhập – xuất kho theo thời gian dưới dạng timeline.				
	224	Xem lịch sử xuất kho	Hệ thống		Cung cấp báo cáo tổng hợp tồn kho theo kỳ (ngày/tháng) để phục vụ quản lý.				
	225	Theo dõi tồn đầu – nhập – xuất – tồn cuối	Admin ERP		Theo dõi biến động tồn kho theo từng batch (Bxxxxx, Sxxxxx).				
	226	Kiểm kê kho	Admin ERP		Thực hiện kiểm kê thực tế và so sánh với số liệu hệ thống để phát hiện chênh lệch.				
	227	Điều chỉnh tồn kho	Admin ERP		Điều chỉnh số liệu tồn kho khi có sai lệch, cần có xác nhận của quản lý.				
Quản lý Chất lượng (QC)	I. Quản lý phiếu QC								
	228	Tạo phiếu QC	Admin ERP	Hệ thống	Admin ERP QC tạo mới phiếu kiểm tra chất lượng cho nguyên liệu, lô sản xuất hoặc thành phẩm, lựa chọn giai đoạn QC (đầu vào, sản xuất, đầu ra), nhập thông tin đối tượng kiểm tra và các chỉ tiêu đánh giá.				
	229	Chọn giai đoạn QC	Admin ERP	Hệ thống	Admin ERP lựa chọn loại QC tương ứng: QC đầu vào (nguyên liệu), QC sản xuất (đang chế biến), QC đầu ra (thành phẩm) để hệ thống áp dụng tiêu chí kiểm tra phù hợp.				
	230	Nhập lô/mẻ QC	Admin ERP	Hệ thống	Admin ERP nhập hoặc chọn mã lô (RAW / Lxxxxx / Sxxxxx), hệ thống tự động lấy thông tin liên quan như nông hộ, loại chè, quy cách.				
	231	Nhập chỉ tiêu kiểm tra	Admin ERP		Admin ERP nhập các chỉ tiêu đánh giá như độ ẩm, độ non búp, độ sạch hoặc các tiêu chí khác theo cấu hình tiêu chuẩn QC.				
	232	Tính điểm QC	Hệ thống		Hệ thống tự động tính tổng điểm QC dựa trên các tiêu chí và trọng số đã được cấu hình trước.				
	233	Đánh giá kết quả QC	Hệ thống	Admin ERP	Hệ thống tự động xác định kết quả (Đạt / Không đạt / Giảm giá) dựa trên tổng điểm hoặc ngưỡng cấu hình, cho phép Admin ERP điều chỉnh nếu cần.				
	234	Nhập ghi chú QC	Admin ERP		Admin ERP nhập ghi chú chi tiết về tình trạng nguyên liệu hoặc sản phẩm khi kiểm tra.				
	235	Lưu phiếu QC	Admin ERP	Hệ thống	Lưu lại toàn bộ thông tin phiếu QC và liên kết với batch tương ứng trong hệ thống.				
	236	Cập nhật phiếu QC	Admin ERP		Cho phép chỉnh sửa phiếu QC trong trường hợp cần điều chỉnh thông tin trước khi khóa dữ liệu.				
	237	Xóa phiếu QC	Admin ERP		Cho phép xóa phiếu QC trong trường hợp nhập sai, cần có quyền xác nhận từ quản lý.				
	238	Xem danh sách phiếu QC	Admin ERP		Hiển thị danh sách toàn bộ phiếu QC theo từng giai đoạn (đầu vào, sản xuất, đầu ra).				
	239	Tìm kiếm / lọc phiếu QC	Admin ERP		Tìm kiếm theo mã QC, batch, nông hộ, loại chè, thời gian hoặc trạng thái kết quả.				
	240	Xem chi tiết phiếu QC	Admin ERP		Hiển thị đầy đủ thông tin chi tiết của một phiếu QC bao gồm các chỉ tiêu, điểm số và kết quả đánh giá.				
	241	Xuất file QC	Admin ERP		Xuất danh sách hoặc chi tiết phiếu QC ra Excel hoặc PDF phục vụ báo cáo.				
	II. QC Đầu vào (Nguyên liệu thu mua)								
	242	Kiểm tra nguyên liệu đầu vào	Admin ERP		Thực hiện kiểm tra chất lượng nguyên liệu ngay sau khi thu mua từ nông hộ trước khi đưa vào sản xuất.				
	243	Đánh giá chất lượng nguyên liệu	Admin ERP		Đánh giá chất lượng theo % hoặc theo tiêu chí (độ non, độ sạch, độ ẩm...).				
	244	Quyết định kết quả QC đầu vào	Admin ERP	Hệ thống	Xác định nguyên liệu đạt, giảm giá hoặc không đạt để quyết định sử dụng trong sản xuất.				
	245	Gắn kết quả QC với lô thu mua	Hệ thống		Liên kết kết quả QC với mã lô RAW để phục vụ truy xuất nguồn gốc.				
	246	Chặn sử dụng lô không đạt	Hệ thống		Không cho phép đưa lô nguyên liệu không đạt vào sản xuất.				
	III. QC trong sản xuất								
	247	Kiểm tra trong quá trình sản xuất	Admin ERP	Admin ERP	Thực hiện kiểm tra chất lượng trong quá trình chế biến (ví dụ: độ ẩm, nhiệt độ, trạng thái chè).				
	248	Ghi nhận sự kiện QC sản xuất	Admin ERP	Hệ thống	Ghi nhận các lần kiểm tra trong quá trình sản xuất vào hệ thống.				
	249	Cảnh báo chất lượng	Hệ thống	Admin ERP	Cảnh báo khi chỉ số vượt ngưỡng cho phép để kịp thời xử lý.				
	250	Theo dõi lịch sử QC sản xuất	Admin ERP		Xem lại toàn bộ lịch sử kiểm tra của một lệnh sản xuất.				
	IV. QC đầu ra (Thành phẩm)								
	251	Kiểm tra thành phẩm	Admin ERP		Kiểm tra chất lượng thành phẩm sau sản xuất hoặc trước khi đóng gói / xuất kho.				
	252	Đánh giá chất lượng thành phẩm	Admin ERP		Đánh giá dựa trên tiêu chuẩn chất lượng của từng loại chè thành phẩm.				
	253	Xác nhận đạt / không đạt	Admin ERP	Hệ thống	Xác nhận lô thành phẩm đủ điều kiện nhập kho hoặc cần xử lý lại.				
	254	Chặn xuất kho nếu không đạt	Hệ thống		Không cho phép xuất bán các lô thành phẩm không đạt QC.				
	V. Quản lý tiêu chuẩn QC								
	255	Tạo tiêu chuẩn QC	Admin ERP	Admin ERP	Thiết lập các tiêu chuẩn kiểm tra cho từng giai đoạn (đầu vào, sản xuất, đầu ra).				
	256	Cấu hình tiêu chí QC	Admin ERP		Cấu hình các tiêu chí như độ ẩm, độ sạch, độ non, trọng số tính điểm.				
	257	Cấu hình thang điểm đánh giá	Admin ERP		Thiết lập ngưỡng điểm để phân loại kết quả (Đạt / Không đạt / Giảm giá).				
	258	Áp dụng tiêu chuẩn theo loại chè	Admin ERP		Áp dụng tiêu chuẩn QC khác nhau cho chè xanh, hồng trà, bạch trà…				
	259	Cập nhật tiêu chuẩn QC	Admin ERP		Cho phép điều chỉnh tiêu chuẩn theo từng vụ mùa hoặc quy định mới.				
	VI. Báo cáo & Dashboard QC								
	260	Thống kê số lô đạt QC	Admin ERP		Hiển thị % số lô đạt tiêu chuẩn QC trên tổng số lô kiểm tra.				
	261	Thống kê số phiếu QC	Admin ERP		Thống kê tổng số phiếu QC theo từng giai đoạn.				
	262	Thống kê lô không đạt	Admin ERP		Hiển thị danh sách và số lượng lô không đạt cần xử lý.				
	263	Theo dõi QC theo thời gian	Admin ERP		Phân tích chất lượng theo ngày / tháng / vụ mùa.				
Khách hàng	I. Quản lý khách hàng (tổng thể)								
	264	Xem danh sách khách hàng	Admin ERP	Admin ERP	Hiển thị danh sách toàn bộ khách hàng trong hệ thống bao gồm khách tạo thủ công và khách từ website, kèm theo các thông tin như mã khách, tên, loại khách, hạng khách, số đơn, doanh thu tích lũy.				
	265	Tìm kiếm theo tên, mã khách hàng	Admin ERP		Cho phép tìm kiếm khách hàng theo tên, mã khách, số điện thoại, email; lọc theo loại khách (bán lẻ, đại lý, siêu thị, xuất khẩu, web), hạng khách hoặc trạng thái.				
	266	Xem chi tiết khách hàng	Admin ERP		Hiển thị đầy đủ thông tin khách hàng gồm thông tin liên hệ, địa chỉ, loại khách, hạng khách, lịch sử mua hàng, tổng doanh thu, công nợ và các ghi chú liên quan.				
	267	Lọc theo phân loại khách hàng	Admin ERP	Hệ thống	Phân loại khách hàng theo nhóm như bán lẻ, đại lý, siêu thị, xuất khẩu hoặc khách từ website để phục vụ chính sách giá và vận hành bán hàng.				
	268	Xem doanh thu theo khách hàng	Hệ thống	Admin ERP	Hệ thống tự động phân biệt khách hàng được tạo từ ERP (thủ công) hoặc từ website bán hàng, giúp theo dõi hiệu quả kênh bán.				
	269	Cập nhật trạng thái khách hàng	Admin ERP		Cho phép cập nhật trạng thái khách hàng như đang hoạt động, ngừng hợp tác hoặc bị khóa.				
	270	Xuất danh sách khách hàng	Admin ERP		Xuất dữ liệu khách hàng ra Excel hoặc PDF phục vụ báo cáo, marketing hoặc quản lý nội bộ.				
	II. Khách hàng tạo thủ công (ERP)								
	271	Tạo khách hàng thủ công	Admin ERP		Admin ERP nhập thông tin khách hàng mới vào hệ thống bao gồm tên, SĐT, email, địa chỉ, loại khách và các thông tin liên quan.				
	272	Nhập thông tin liên hệ	Admin ERP		Nhập và lưu thông tin liên hệ của khách hàng bao gồm số điện thoại, email, địa chỉ giao hàng để phục vụ bán hàng và vận chuyển.				
	273	Gán loại khách hàng	Admin ERP	Hệ thống	Chọn loại khách hàng (bán lẻ, đại lý, siêu thị, xuất khẩu) để hệ thống áp dụng chính sách giá phù hợp trong bán hàng.				
	274	Thiết lập hạn mức công nợ	Admin ERP		Cấu hình hạn mức công nợ tối đa cho khách hàng khi bán hàng theo hình thức thanh toán chậm.				
	275	Cập nhật thông tin khách hàng	Admin ERP		Cho phép chỉnh sửa thông tin khách hàng khi có thay đổi như địa chỉ, liên hệ, loại khách.				
	276	Xóa / khóa khách hàng	Admin ERP		Xóa hoặc khóa khách hàng không còn sử dụng, đảm bảo không ảnh hưởng đến dữ liệu lịch sử giao dịch.				
	III. Khách hàng từ Website								
	277	Nhận khách hàng từ website	Hệ thống	Website bán hàng	Hệ thống tự động nhận thông tin khách hàng khi người dùng đăng ký hoặc đặt hàng trên website bán hàng.				
	278	Tự động tạo hồ sơ khách hàng	Hệ thống		Khi có khách hàng mới từ website, hệ thống tự động tạo hồ sơ khách hàng trong ERP với thông tin cơ bản.				
	279	Đồng bộ thông tin khách hàng	Hệ thống	Website	Đồng bộ thông tin khách hàng giữa website và ERP khi có thay đổi (email, SĐT, địa chỉ).				
	280	Gán loại khách từ web	Hệ thống	Admin ERP	Tự động gán loại khách là “Khách từ website” để phục vụ phân tích kênh bán.				
	281	Cập nhật thông tin khách từ ERP	Admin ERP		Cho phép chỉnh sửa thông tin khách hàng từ website trong ERP khi cần thiết.				
	IV. Quản lý hạng khách hàng								
	282	Tính toán hạng khách hàng tự động	Hệ thống		Hệ thống tự động tính toán hạng khách hàng dựa trên số đơn hàng và doanh thu tích lũy theo các tiêu chí cấu hình.				
	283	Cấu hình tiêu chí xếp hạng	Admin ERP	Hệ thống	Cho phép thiết lập tiêu chí phân hạng như VIP (≥10 đơn hoặc ≥200 triệu), Vàng, Bạc…				
	284	Cập nhật hạng khách hàng	Hệ thống		Hệ thống tự động cập nhật hạng khách khi khách đạt hoặc thay đổi điều kiện.				
	285	Hiển thị hạng khách	Admin ERP		Hiển thị hạng khách hàng (VIP, Vàng, Bạc…) trên danh sách và chi tiết khách để hỗ trợ bán hàng.				
	V. Quản lý đơn bán								
	286	Xem lịch sử đơn bán	Admin ERP		Hiển thị danh sách các đơn hàng đã phát sinh của khách hàng.				
	287	Xem tổng doanh thu khách hàng	Admin ERP	Hệ thống	Hiển thị tổng doanh thu tích lũy của khách hàng dựa trên các đơn hàng đã hoàn thành.				
	288	Theo dõi công nợ khách hàng	Admin ERP	Admin ERP	Theo dõi số tiền khách hàng còn nợ, đã thanh toán và hạn thanh toán.				
	289	Xem lịch sử thanh toán	Admin ERP		Hiển thị các lần thanh toán của khách hàng theo từng đơn hàng.				
		Xem chi tiết đơn bán 							
		Xem thống kế doanh thu theo đơn bán 							
Quản lý phương tiện vận chuyển	I. Quản lý phương tiện vận chuyển								
	290	Tạo mới phương tiện vận chuyển	Admin ERP	Admin ERP	Thêm mới phương tiện (xe tải, xe máy...) vào danh sách quản lý: biển số, loại xe, tải trọng, tài xế phụ trách.				
	291	Cập nhật thông tin phương tiện	Admin ERP		Chỉnh sửa thông tin phương tiện: biển số, trạng thái hoạt động, tài xế.				
	292	Xem danh sách phương tiện	Admin ERP	Admin ERP	Hiển thị danh sách tất cả phương tiện vận chuyển đang hoạt động.				
	293	Gán phương tiện vào đơn hàng	Admin ERP	Hệ thống	Liên kết phương tiện và tài xế vào đơn hàng khi xử lý giao hàng.				
	294	Theo dõi lịch sử vận chuyển	Admin ERP		Xem lịch sử các chuyến vận chuyển theo phương tiện, ngày, đơn hàng.				
	295	Xem chi tiết phương tiện 	Admin ERP	Hệ thống	Thống kê số chuyến, sản lượng vận chuyển theo phương tiện / thời gian.				
Website MKT & Bán hàng	296	Cấu hình thông tin hiển thị Website	Khách hàng	-	Khách hàng truy cập và xem các trang thông tin trên website				
	297	Cấu hình thông tin bài viết	Khách hàng	-	Khách hàng xem các bài viết/blog phục vụ SEO				
	298	Tìm kiếm sản phẩm	Khách hàng	-	Khách hàng tìm kiếm sản phẩm theo từ khóa hoặc bộ lọc				
	300	Thêm vào giỏ hàng	Khách hàng	-	Khách hàng thêm sản phẩm vào giỏ hàng				
	301	Xử lý đặt hàng	Khách hàng	Hệ thống ERP	Khách hàng thực hiện đặt hàng trên website				
	302	Tạo đơn hàng từ website	Hệ thống ERP	-	Hệ thống tạo đơn hàng tương ứng trong ERP				
	303	Xem danh sách sản phẩm	Admin ERP	Hệ thống ERP	Admin tạo/sửa/xóa sản phẩm trong hệ thống				
	299	Cấu hình hiển thị sản phẩm	Khách hàng	-	Hiển thị thông tin chi tiết sản phẩm				
	304	Đồng bộ website	Hệ thống ERP	Website	Đồng bộ dữ liệu sản phẩm từ ERP sang website				
	305	Quản lý nội dung website	Admin ERP	-	Admin quản lý bài viết, banner, nội dung website				
	306	Quản lý SEO	Admin ERP	-	Admin thực hiện các hoạt động tối ưu SEO				
	307	Tối ưu bài viết	Admin ERP	-	Tối ưu nội dung bài viết chuẩn SEO				
	308	SEO sản phẩm	Admin ERP	-	Tối ưu SEO cho trang sản phẩm				
	309	Quản lý URL & redirect	Admin ERP	-	Quản lý đường dẫn và redirect 301				
	310	Tracking SEO	Admin ERP	-	Theo dõi hiệu quả SEO (traffic, keyword, conversion)				
	311	Xem báo cáo	Admin ERP	Hệ thống ERP	Xem báo cáo tổng hợp dữ liệu				
	312	Quản lý đơn hàng	Admin ERP	Hệ thống ERP	Quản lý danh sách đơn hàng				
	313	Cập nhật trạng thái đơn	Admin ERP	Hệ thống ERP	Cập nhật trạng thái xử lý đơn hàng				
Khởi tạo Doanh nghiệp		Xem danh sách Doanh nghiệp 	Super Admin 		Super Admin xem danh sách các doanh nghiệp trên hệ thống SSO				
		Tạo doanh nghiệp	Super Admin 		Super Admin tạo mới một doanh nghiệp trên hệ thống SSO, bao gồm thông tin định danh như tên, mã số thuế, địa chỉ để quản lý độc lập.				
		Cấu hình phân hệ cho Doanh nghiệp	Super Admin 		Super Admin lựa chọn và cấu hình các phân hệ (ERP, Truy xuất nguồn gốc, Vùng trồng) mà doanh nghiệp được phép sử dụng.				
		Cấu hình giới hạn tính năng theo phân hệ	Super Admin 		Super Admin thiết lập phạm vi chức năng chi tiết trong từng phân hệ (ví dụ bật/tắt module vật tư trong TXNG hoặc module quản lý kho trong ERP).				
		Cấu hình giới hạn tính năng theo tổ chức/nhóm người dùng	Super Admin 		Admin doanh nghiệp khai báo cấu trúc nội bộ như phòng ban, nhóm vận hành hoặc vùng quản lý để phục vụ phân quyền.				
		Xem chi tiết thông tin Doanh nghiệp	Super Admin 		Super Admin xem thông tin chi tiết 1 doanh nghiệp				
		Cập nhật thông tin Doanh nghiệp 	Super Admin 		Super Admin cập nhật thông tin cho 1 doanh nghiệp 				
		Khóa tài khoản Doanh nghiệp 	Super Admin 		Super Admin khóa tài khoản Doanh nghiệp khi doanh nghiệp không còn sử dụng hệ thống 				
Quản lý User		Xem danh sách User	Admin Doanh nghiệp		Cho phép Admin Doanh nghiệp xem danh sách các người dùng thuộc doanh nghiệp 				
		Tạo User nội bộ	Admin Doanh nghiệp		Admin doanh nghiệp tạo tài khoản cho người dùng nội bộ và khai báo thông tin cơ bản như tên, email, số điện thoại.				
		Gán User vào tổ chức / nhóm	Admin Doanh nghiệp		Admin gán người dùng vào các phòng ban hoặc nhóm chức năng để phục vụ quản lý và phân quyền.				
		Cập nhật thông tin User	Admin Doanh nghiệp		Cho phép Admin Doanh nghiệp cập nhật thông tin người dùng đã tạo 				
		Xem chi tiết thông tin User	Admin Doanh nghiệp		Cho phép Admin Doanh nghiệp xem chi tiết thông tin người dùng đã tạo 				
		Khóa User	Admin Doanh nghiệp		Admin khóa tài khoản người dùng khi có thay đổi nhân sự hoặc vi phạm chính sách.				
Thông tin doanh nghiệp		Xem Dashboard Portal	Admin Doanh nghiệp		Hiển thị tổng quan thông tin doanh nghiệp và hoạt động				
		Xem thống kê người dùng	Admin Doanh nghiệp		Hiển thị số lượng User, hoạt động truy cập hệ thống				
		Xem danh sách module có sẵn	Admin Doanh nghiệp		Hiển thị danh sách các module có thể sử dụng				
		Xem thông tin doanh nghiệp	Admin Doanh nghiệp		Xem tên, link website, thông tin liên hệ, gói phân hệ được phân quyền 				
		Xem hướng dẫn sử dụng	Admin Doanh nghiệp		Truy cập tài liệu hướng dẫn sử dụng các module				
		Liên hệ hỗ trợ kỹ thuật	Admin Doanh nghiệp		Gửi yêu cầu hỗ trợ kỹ thuật đến team support				
Danh mục dùng chung		CRUD & quản lý danh sách Đơn vị tính 	Super Admin 		Tạo, cập nhật và xem danh sách các đơn vị tính dùng chung trong hệ thống 				
		Quản lý Đơn vị hành chính (Tỉnh thành phố, Xã phường)	Hệ thống 		Quản lý danh mục dữ liệu Đơn vị hành chính để dùng chung trong toàn hệ thống				
		Loại chứng chỉ, chứng nhận	Super Admin 		Tạo, cập nhật và xem danh sách loại chứng chỉ, chứng nhận dùng chung trong hệ thống 				
Lưu trữ tập trung		API Upload (File Service)	Hệ thống 		Hỗ trợ upload đa phương thức; Kiểm soát định dạng; Hỗ trợ Multipart Upload cho các file dung lượng lớn để đảm bảo tính ổn định				
		API View truy xuất	Hệ thống 		Cung cấp Endpoint trả về luồng dữ liệu (Stream) với Header Content-Type phù hợp (ví dụ: image/jpeg) để hiển thị trực tiếp trên thẻ <img> của trình duyệt				
		API Hỗ trợ tham số tùy chỉnh kích thước ảnh qua URL	Hệ thống 		Hỗ trợ tùy chỉnh kích thước ảnh upload lên hệ thống cho phù hợp, ví dụ:?width=200&height=200				
